Acquisition,coef,t-value
ABW,0.33378623200103963,1.0471395718673084
AGO,-0.027166168449309643,-0.7431109895547061
AIA,-0.18698677746456652,-1.4028149257222884
ALB,0.3480895694411497,1.2641848010886003
ARE,5.018565326425105,2.3492826751435776
ARG,8.69158408004352,2.9964985116172844
ATG,-1.4926678113662402,-2.261037434671732
AUS,12.738195796527748,4.001719417790161
BEL,13.350580839668375,3.6481805087172146
BEN,0.15082713532646752,1.2988926135495105
BGD,0.20740688206030478,0.664450359544814
BGR,5.997025453458561,2.921537012113273
BHR,0.8226702326203027,1.7723823192011496
BHS,5.205801780645067,2.3598722595740393
BIH,3.1308919080005366,2.164550840548289
BLZ,1.1414869872154259,1.823488856908048
BMU,12.722722091259449,2.7955063446948225
BRA,11.785940504150993,3.515478159842699
BRB,8.276234516597421,2.67735734579392
BRN,0.3294853616220008,0.9540763846796714
BVT,0.1382449617997263,1.5165496953886628
CAN,15.317836700135857,3.8959563518673357
CHL,3.0832438597126686,2.6166330434182985
CHN,13.484405732708064,3.666505307807801
CIV,0.1728837532656436,0.6441250129101577
CMR,0.5794861472689273,1.7257247088175014
COD,0.07402940143328719,1.2826719964766617
COG,0.24109568359431996,1.2788254356420181
COK,-0.12955944199207178,-0.5373653025742403
COL,4.270425218715932,2.7369956254815953
COM,-0.055729838561813676,-0.5351824120657648
CRI,3.1845613241604265,2.0203403845687116
CUB,3.0346326154840577,1.8211691953033284
CUW,-0.5980701549152249,-1.927728708718327
CYM,6.88664148640405,2.534674804910581
CYP,9.689592133653331,2.978001675753978
DEU,17.56671036094117,4.21230123329319
DMA,0.021731979366870127,0.5841003621872497
DNK,12.553600815583346,3.750772540346417
DOM,-0.05331090081745272,-0.36403849401646227
DZA,1.6523567695463055,2.5353799114177518
ECU,1.1947220886284131,1.5091850103422004
EGY,6.93850696351692,2.7382358902308943
ERI,-0.011609362918789027,-0.9863492752356494
ESP,14.781434647721307,3.6364492039279934
EST,5.3917731766002,2.9397394749043695
FIN,12.447039661142044,3.6255218868775008
FJI,0.09208409914889155,0.5674758458341819
FLK,0.07195784688634474,0.9875980061427535
FRA,13.30156385331962,3.6415770631631537
FRO,-0.02141752446950149,-0.1255512765274934
GAB,-0.04672882097713906,-0.41866180145148324
GBR,13.951105268497635,3.876862715627722
GEO,4.392662621159787,2.1456803958804804
GGY,-0.035867024958787304,-0.5351495825174551
GHA,0.25324099214139845,1.2596023553124198
GIB,1.2321548876630157,2.1054290904314468
GIN,-0.04656683275619832,-0.2934738265552801
GMB,-0.4910427786273361,-1.8350559878137518
GNQ,0.043388110979440356,0.9878595802929617
GRC,9.191525600056472,3.5578589874346047
GRD,0.03789559241150788,0.9873746354845748
GTM,0.4581132039919795,2.1887238636015645
GUM,0.4942368260153268,1.4677488680932806
GUY,0.02749952141317396,0.34158769635082303
HND,0.23096118430192408,1.1122372209570501
HRV,11.23983266712657,3.163306365095345
HTI,0.19462526500304175,1.4258092302051064
IDN,3.7000344995591146,2.0095868729813215
IMN,-0.33262805128844375,-1.4252486898220438
IND,24.036538466833022,3.911861062477552
IRL,13.241221028380172,3.7276231624683605
IRN,0.9892321989100696,1.2778165095111031
IRQ,0.4394990578987751,1.6414829078032374
ISL,10.145245368667224,3.1355828905766585
ISR,17.68483620594297,4.090793248539189
ITA,15.917509766656055,4.072300725689512
JAM,-0.547034310894948,-1.8333606837432619
JEY,-0.11362146481980874,-1.1248012278470194
JOR,1.8444019609728586,2.1422140127901104
JPN,16.217836658551658,4.004567806386604
KEN,2.352247078759923,2.0368066023276556
KHM,0.2629981046748118,1.7891063823959834
KNA,-0.09206827247092089,-0.5486627175157921
KOR,21.549374064781922,4.16508286500795
KWT,0.6264357350778085,1.6399560632844967
LBN,3.17390660531485,2.3464058902591214
LBR,0.16758993252174678,1.6070246538896438
LBY,0.016241562246311295,0.1431740367778349
LCA,0.04165533901903581,0.9856077411530707
LKA,1.2681766275914916,1.830156452514546
LTU,1.9103265462269658,2.3791179740077557
LVA,7.651087728100079,2.564382120613586
MAR,2.5013035893778235,2.4312204952031387
MCO,3.5135115226249147,3.0457914552852916
MDG,0.1881094595880011,0.7589467665724763
MEX,10.383534715542003,3.273553767757989
MHL,0.48024962184677905,1.7278768594261573
MLT,2.3223377481452445,2.2636744146499486
MMR,0.14352013696882251,1.8695379426759264
MNE,-0.2868465179587495,-1.110457998331029
MNP,0.21972977646392836,1.5236913300617114
MOZ,-0.04571020711712981,-0.9882355959379938
MRT,-0.0013079344533206934,-0.015009249376589017
MSR,0.02116710119617364,0.9814641166594205
MUS,2.701102185139992,2.156321025186447
MYS,8.740547589834103,3.211094541300744
NAM,0.31170910108966926,1.165813152763149
NCL,-0.14071722466328168,-1.1142705002686715
NFK,0.23244213974868294,1.6233253320461474
NGA,0.17699333370679132,0.7891791853406435
NIC,0.037500477762484226,0.34766483530690945
NIU,0.23433535003190006,1.6240879215001152
NLD,16.782717059512557,4.111900807827848
NOR,11.166418419516715,3.61246562340356
NZL,13.483991360394006,3.7831776238427244
OMN,0.1888668126871574,1.3242687610306119
PAK,0.3445616227249163,1.2994271886456903
PAN,7.600233688138491,2.7374250378510765
PER,1.4653076148519755,1.8209420886505667
PHL,8.118604778719414,3.0398179544817707
PNG,4.4739610972782735e-05,0.00039936356442834615
POL,11.64820513318577,3.6064893857545894
PRI,1.6767395498928297,1.64907547785083
PRK,1.0354429193964207,1.685017985096256
PRT,10.99722712549595,3.614438900439398
PYF,0.2549574405058672,1.5053776299723567
QAT,0.572555240971774,1.0987047754960235
REU,0.740529034942436,1.6721007589216272
ROU,6.315265512703436,2.7313708565544546
RUS,11.674612278552992,3.6007749622331287
SAU,3.882091838503566,2.5440226289518653
SDN,1.5366787378484996,1.8830948880680094
SEN,0.6747298558813479,1.809141714210803
SGP,15.987230895731567,3.6501653134817493
SLE,0.9440077442236785,1.9908824616587644
SLV,0.5800537212510511,1.6164651223731112
SOM,0.06717600450502104,0.9873864934393421
SUR,-0.015847756988266813,-0.6053433619550451
SVN,9.82495967861224,3.2136561883169894
SWE,12.07251510124046,3.5745228529568673
SYC,2.477556238808388,2.127783279486075
SYR,1.784601926111192,2.0841425919838086
TCA,0.43100306500662094,1.105757651994326
TGO,-0.15891231442370732,-1.8584994792019822
THA,6.28113871209234,2.7463749403802744
TTO,2.027911784990631,2.1265222989706865
TUN,2.4322595166185477,2.2630015628203823
TUR,13.136478605719677,3.5441189376261595
TZA,0.10860850495831069,1.246626486382996
UKR,7.425212923560915,3.0097734907188736
URY,4.888671867470499,2.5095905997989303
USA,16.323177420062304,4.344741062586488
VCT,0.49835265324205885,1.7462035126491748
VEN,3.0185240268835978,2.4876884645047923
VGB,15.505176063691541,3.164426090576735
VIR,1.5109876766677364,1.9459120698755932
VNM,2.4070500290837558,2.169797090181262
VUT,-0.4965503857600117,-1.347029181427596
WSM,0.4625483815568004,1.724177516649196
YEM,0.047049575812878545,1.6118087850907263
ZAF,18.1359540847975,3.7975941032399074
